instruction,output,url
ベルヌーイ分布,"ベルヌーイ分布（英: Bernoulli distribution）とは、数学において、確率 p で 1 を、確率 q = 1 − p で 0 をとる、離散確率分布である。ベルヌーイ分布という名前は、スイスの科学者ヤコブ・ベルヌーイに因んでつけられた名前である。
X をベルヌーイ分布に従う確率変数とすれば、確率質量関数は

  
    
      
        P
        (
        X
        =
        1
        )
        =
        p
        ,
        
        P
        (
        X
        =
        0
        )
        =
        q
        =
        1
        −
        p
      
    
    {\displaystyle P(X=1)=p,\qquad P(X=0)=q=1-p}
  

である。これを

  
    
      
        P
        (
        X
        =
        k
        )
        =
        
          p
          
            k
          
        
        (
        1
        −
        p
        
          )
          
            1
            −
            k
          
        
        
        (
        k
        =
        0
        ,
        1
        )
      
    
    {\displaystyle P(X=k)=p^{k}(1-p)^{1-k}\qquad (k=0,1)}
  

と一括することもできる。確率変数 X の平均は p, 分散は pq = p(1 − p) である。
ベルヌーイ分布は指数型分布族の一つである。",https://ja.wikipedia.org/wiki/%E3%83%99%E3%83%AB%E3%83%8C%E3%83%BC%E3%82%A4%E5%88%86%E5%B8%83
二項分布,"数学において、二項分布（にこうぶんぷ、英: binomial distribution）は、成功確率 p で成功か失敗のいずれかの結果となる試行（ベルヌーイ試行と呼ばれる）を独立に n 回行ったときの成功回数を確率変数Xとする離散確率分布である。
二項分布に基づく統計的有意性の検定は、二項検定と呼ばれている。",https://ja.wikipedia.org/wiki/%E4%BA%8C%E9%A0%85%E5%88%86%E5%B8%83
箱ひげ図,箱ひげ図（はこひげず、箱髭図、英: box plot、box-and-whisker plot）は、データの統計的ばらつきをわかりやすく表現するための統計図である。主に多くの水準からなる分布を視覚的に要約し、比較するために用いる。ジョン・テューキーが1970年代に提唱した。様々な分野で利用されるが、特に品質管理で盛んに用いられる。箱（box）と、その両側に出たひげ（whisker）で表現されることからこの名がある。,https://ja.wikipedia.org/wiki/%E7%AE%B1%E3%81%B2%E3%81%92%E5%9B%B3
歪度,"確率論および統計学において、歪度（わいど、skewness）は、分布の非対称性を示す指標である。日本産業規格では、ゆがみ、ひずみ（歪み）を確率密度関数または確率関数 f (x)  のグラフが左右対称でないこと、ゆがみの程度を平均値まわりの 3 次モーメント µ3 と標準偏差 σ の 3 乗との比 µ3/σ3 と定義している。
分布の尖り（とがり）具合を示す指標である尖度とともに用いる。歪みをもち、尖度が大きい金融データなどではこれらの指標を頻繁に用いる。",https://ja.wikipedia.org/wiki/%E6%AD%AA%E5%BA%A6
尖度,尖度（せんど、英: kurtosis）は、確率変数の確率密度関数や頻度分布の鋭さを表す指標である。正規分布と比べて、尖度が大きければ鋭いピークと長く太い裾をもった分布であり、尖度が小さければより丸みがかったピークと短く細い尾をもつ分布である。日本産業規格では、とがり (kurtosis) として平均値まわりの4次のモーメント μ4 の標準偏差 σ の4乗に対する比 μ4/σ4 と定義しているが、それからさらに3を引いた値が尖度として定義される場合がある。後者の尖度は特に超過尖度(英: excess kurtosis)と呼ばれることがある。,https://ja.wikipedia.org/wiki/%E5%B0%96%E5%BA%A6
相関関係,相関（そうかん、英: correlation）とは、一方が変化すれば他方も変化するように相互に関係しあうことである。 数学や物理学では、二つの変量や現象がある程度相互に規則的に関係を保って変化することをいう。因果性の有無は問わない。広義には、統計的に何らかの関連性があることを言うが、最も一般的な相関係数であるピアソンの積率相関係数は二変数における線形性相関の程度を指す。例えば「親の身長が高いほうが子供の身長も高い」「勉強時間が長いほうがテストの成績も上がる」などの傾向が身近な相関現象である。 相関は、実践で活用できる予測的な関係性を示してくれるため実用性がある。例えば、電気事業者は電力需要と天候との相関関係に基づいて、過ごしやすい気温の日には電力を少なめに発電したりもする。この例では、猛暑や厳寒といった極端な天候は人々が大量に電気を使う原因となるため、因果関係にあたる。ただし一般には、相関があっても因果関係があるとは言い切れない（すなわち相関関係は因果関係を含意しない）。  本質的に相関とは、2つ以上の変数が互いにどの程度関わり合っているかの尺度である。幾種類かの相関係数があり、多くの場合                        ρ                 {\displaystyle \rho }    または                        r                 {\displaystyle r}    で表記される。統計学では、主に二変数の線形性相関に着目して関係性の強弱を係数で表しており、その最も一般的な尺度がピアソンの積率相関係数である（より堅牢なスピアマンの順位相関係数などは非線形相関にも対応する）。,https://ja.wikipedia.org/wiki/%E7%9B%B8%E9%96%A2
因果関係,因果性（いんがせい、英: causality）とは、二つの事象間における原因と結果という結びつきや、あるいは結びつきの有無や強さを問題にした概念である。日本語では「因果関係」ともいう。,https://ja.wikipedia.org/wiki/%E5%9B%A0%E6%9E%9C%E6%80%A7
疑似相関,"疑似相関（ぎじそうかん、英: Spurious relationship, Spurious correlation）は、2つの事象に因果関係がないのに、見えない要因（潜伏変数）によって因果関係があるかのように推測されること。疑似相関は、客観的に精査するとそれが妥当でないときにも、2つの集団間に意味の有る関係があるような印象を与える。
2つの（確率）変数間の疑似相関は、第三の原因変数を導入することで生み出される。換言すれば、A と B の間の相関を見出す。従って、考えられる関係としては次の3つがある。

A が B を発生させる
B が A を発生させる
または
C が A と B を発生させる
最後の関係が疑似相関である。そのため、「相関関係は因果関係を含意しない」とよく言われる。",https://ja.wikipedia.org/wiki/%E6%93%AC%E4%BC%BC%E7%9B%B8%E9%96%A2
"
独立変数と従属変数","関数 y = f(x1,x2) あるいはそれに似た確率的な関係について、x1,x2 を独立変数（どくりつへんすう、英語: independent variable）、y を従属変数（じゅうぞくへんすう、英語: dependent variable）と言う。 統計学・科学の文脈において、対象となる研究等の範囲内で、独立変数は他の独立変数に依存せず自由（あるいは完全に自由というわけではないが自由度が落ちない程度にしか制限されない）な値をとりえて、その独立変数の値に依存して決まる値をとる（あるいは値の分布が絞られる）のが従属変数である、というニュアンスで用いられる。 モデルや実験は、独立変数が従属変数に与える影響を検証するのが主題である。例えば、力学において位置と運動量は独立変数で力は従属変数とされることが多く、統計学において各サイコロの目は独立変数でその平均は従属変数とされ、経営において価格は独立変数で利益は従属変数とされることが多い。  独立変数に依存せず自由な値をとりえて、かつ関係に影響を及ぼすが、測定していない（できない）ため独立変数に含めてない変数を、「共変量」や「交絡因子」と言う。",https://ja.wikipedia.org/wiki/%E7%8B%AC%E7%AB%8B%E5%A4%89%E6%95%B0%E3%81%A8%E5%BE%93%E5%B1%9E%E5%A4%89%E6%95%B0
名義尺度,"類別尺度ともいう(石井 1975)。この水準では数字を単なる名前として対象に割り振る。2つの対象に同じ数字がついていればそれらは同じカテゴリに属する。変数値間の比較は等しいか異なるかでしか行えない。順序もないし加減などの演算もできない。例えば、ISO 5218は、ヒトの性別に数値を割り当てているが、「女性は男性の2倍である」「法人は女性の4.5倍である」という意味にならない。
例としては電話番号、背番号、バスの系統番号など。代表値の指標として使えるのは最頻値のみである。統計的バラツキは変動比や情報エントロピーで評価できるが、標準偏差などの概念はありえない。名義尺度でのみ測定されるデータはカテゴリデータとも呼ばれる。

なおカテゴリデータを、ある性質が「あるかないか」という表現に直し、さらにこれを「1か0か」で表現したものをダミー変数という。ダミー変数またはそれから算出されるスコア（点数）を、順序尺度以上の水準に準じて扱う方法もよく用いられる。",https://ja.wikipedia.org/wiki/%E5%B0%BA%E5%BA%A6%E6%B0%B4%E6%BA%96
順序尺度,"この水準では対象に割り振られた数字は測定する性質の順序を表す。数字は等しいかどうかに加え、順序（大きいか小さいか）による比較ができる。しかし加減などの演算には意味がない。
例えば、国際原子力事象評価尺度がこれにあたる。チェルノブイリ原子力発電所事故はレベル7に評価されているが、これは「レベル6よりも上である」という意味ではあるが「レベル4の２倍に及ばない」という意味にはならない。
その他にも物理学的な例としてモース硬度がある。その他の例にはレースの着順などがあるが、これでは到着時間の差は記録できない。心理学や社会科学の測定のほとんどは順序尺度で行われる。例えば社会的態度(保守的か進歩的かなど)や階級は順序水準で測定されるものである。また客の嗜好（アイスクリームのバニラ味とチョコレート味とどちらが好きか）のデータもこれで表現できる。順序尺度の代表値は最頻値や中央値で表されるが、中央値の方が多くの情報を与える。順序尺度で測定されるデータは順序（または順位）データと呼ぶ。
順序尺度を統計で用いる場合に、順序尺度を数値に置き換えて計算することがある。ただし、計算結果が元の順序尺度を保存していることが条件となる。

各カテゴリに属す対象の個数という形のデータにまとめると数量データと呼ばれ、これは分割表で表示できる。これらに対して用いられる統計検定法はノンパラメトリックなものに限る。
質問票の単独の項目の回答（項目スコア）は一般に順序尺度データとして扱われる。これは選択肢の間隔が等間隔かどうかが不明だからである。その一方で多くの研究者は質問票の総スコア（項目スコアの和）を間隔尺度データとして扱う。この点に関しては議論がある。",https://ja.wikipedia.org/wiki/%E5%B0%BA%E5%BA%A6%E6%B0%B4%E6%BA%96
間隔尺度,"対象に割り振る数字は順序水準の性質を全て満たし、差が等しいことは間隔が等しいことを意味する。
測定値の対(pair)の差の比較は意味がある。
加減の演算にも意味がある。
尺度上のゼロ点は任意で負の値も使える。
例はカレンダーの日付がある。
値の比は意味がない。直接の乗除の演算全般も同様に意味はない。
差の比には意味がある。
代表値は最頻値、中央値あるいは算術平均で表す。算術平均が最も多くの情報を与えるかどうかは対象による。
間隔尺度で測定したデータを間隔データと呼ぶ。
摂氏または華氏で測る温度も間隔尺度である。",https://ja.wikipedia.org/wiki/%E5%B0%BA%E5%BA%A6%E6%B0%B4%E6%BA%96
比例尺度,"対象に割り振られた数字は間隔尺度の性質を全て満たし、さらにその中のペアの比にも、乗除の演算にも意味がある。比率水準のゼロ点は絶対的である。
ほとんどの物理学的量、つまり質量、長さやエネルギーは比率水準である。また温度も絶対温度で測れば比率尺度である。比率尺度で測定される変数の代表値は最頻値、中央値、算術平均あるいは幾何平均で表されるが、間隔尺度と同じく算術平均が最も多くの情報を与える。比率尺度で測定されるデータは比率データと呼ばれる。比率尺度で表される社会的変数には年齢、ある場所での居住期間、収入などといったものがある。
スティーヴンズは「名義尺度」、「順序尺度」、「間隔尺度」、及び「比率尺度」と呼び、両方を定量的なもの（順序、間隔、比率）と、定性的なもの（名義）にまとめた。スティーヴンズのこの分類は広く用いられてはいるものの、完全に認められたものではなく、議論がある。例えば、行動科学で順序尺度の平均値に意味があるかどうかといった議論がなされている。数学的には意味がないが、一部の行動科学者は実際に使っている。行動科学における順序尺度は実際には順序尺度と間隔尺度の中間にある（2つのランクの差は一定ではないが、ほぼ同程度である）というのがその理由である。",https://ja.wikipedia.org/wiki/%E5%B0%BA%E5%BA%A6%E6%B0%B4%E6%BA%96
点推定,"点推定（てんすいてい、英: point estimation）とは、推計統計学において観測データに基づいて未知量に対する良好な推定（推定量）と見なせる値（統計量）を計算する手法とその結果を言う。平均値・中央値・最頻値などが用いられる。尤度関数の最頻値で推定する場合、事前分布がない場合を最尤推定、事前分布がある場合を最大事後確率推定という。
通常、推定値は記号の上に「＾」をつける。",https://ja.wikipedia.org/wiki/%E7%82%B9%E6%8E%A8%E5%AE%9A
区間推定,"推計統計学（すいけいとうけいがく、英: inferential statistics, inductive statistics）あるいは統計的推論（英: statistical inference）とは、母集団全体を知ることができない場合に、母集団から抽出された部分集団（抽出集団、標本集団）をもとに、確率論を用いて母集団の様子を推定する統計学の分野を言う。推計という語は、推定、推論、推測などと訳されることもある。",https://ja.wikipedia.org/wiki/%E6%8E%A8%E8%A8%88%E7%B5%B1%E8%A8%88%E5%AD%A6
尤度,"尤度関数（ゆうどかんすう、英: likelihood function）とは統計学において、ある前提条件に従って結果が出現する場合に、逆に観察結果からみて前提条件が「何々であった」と推測する尤もらしさ（もっともらしさ）を表す数値を、「何々」を変数とする関数として捉えたものである。また単に尤度ともいう。
その相対値に意味があり、最尤法、尤度比検定などで用いられる。",https://ja.wikipedia.org/wiki/%E5%B0%A4%E5%BA%A6%E9%96%A2%E6%95%B0
最尤推定,最尤推定（さいゆうすいてい、英: maximum likelihood estimationという）や最尤法（さいゆうほう、英: method of maximum likelihood）とは、統計学において、与えられたデータからそれが従う確率分布の母数を点推定する方法である。  この方法はロナルド・フィッシャーが1912年から1922年にかけて開発した。 観測されたデータからそれを生んだ母集団を説明しようとする際に広く用いられる。生物学では塩基やアミノ酸配列のような分子データの置換に関する確率モデルに基づいて系統樹を作成する際に、一番尤もらしくデータを説明する樹形を選択するための有力な方法としても利用される。機械学習ではニューラルネットワーク（特に生成モデル）を学習する際に最尤推定（負の対数尤度最小化として定式化）が用いられる。,https://ja.wikipedia.org/wiki/%E6%9C%80%E5%B0%A4%E6%8E%A8%E5%AE%9A
